League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee
SP1,2024-25,,Vallecano,Ath Madrid,0,7,A,12,17,3,10,,Iñigo Pérez,Diego Simeone,
SP1,2024-25,2023-01-09,Cadiz,Villarreal,3,1,H,18,7,4,3,,Mauricio Pellegrino,Marcelino,
SP1,2024-25,2023-01-09,Almeria,Celta,2,3,A,16,14,5,8,,Pepe Mel,Claudio Giráldez,
SP1,2024-25,2023-02-09,Sociedad,Granada,5,3,H,15,8,6,5,,Imanol Alguacil,José Ramón Sandoval,
SP1,2024-25,2023-02-09,Real Madrid,Getafe,2,1,H,26,6,12,2,,Carlo Ancelotti,José Bordalás,
SP1,2024-25,2023-02-09,Alaves,Valencia,1,0,H,7,9,1,4,,Luis García,Rubén Baraja,
SP1,2024-25,2023-02-09,Betis,Vallecano,1,0,H,14,15,5,6,,Manuel Pellegrini,Iñigo Pérez,
SP1,2024-25,2023-03-09,Girona,Las Palmas,1,0,H,11,10,6,5,,Míchel,García Pimienta,
SP1,2024-25,2023-03-09,Mallorca,Ath Bilbao,0,0,D,8,11,2,3,,Javier Aguirre,Ernesto Valverde,
SP1,2024-25,2023-03-09,Osasuna,Barcelona,1,2,A,11,9,3,4,,Jagoba Arrasate,Xavi,
SP1,2024-25,,Vallecano,Alaves,2,0,H,20,9,11,1,,Iñigo Pérez,Luis García,
SP1,2024-25,,Ath Bilbao,Cadiz,3,0,H,20,5,9,4,,Ernesto Valverde,Mauricio Pellegrino,
SP1,2024-25,,Valencia,Ath Madrid,3,0,H,12,11,8,3,,Rubén Baraja,Diego Simeone,
SP1,2024-25,,Celta,Mallorca,0,1,A,16,7,4,4,,Claudio Giráldez,Javier Aguirre,
SP1,2024-25,,Barcelona,Betis,5,0,H,17,11,9,2,,Xavi,Manuel Pellegrini,
SP1,2024-25,,Getafe,Osasuna,3,2,H,11,8,6,3,,José Bordalás,Jagoba Arrasate,
SP1,2024-25,,Villarreal,Almeria,2,1,H,10,17,4,7,,Marcelino,Pepe Mel,
SP1,2024-25,,Sevilla,Las Palmas,1,0,H,26,12,9,2,,Quique Sánchez Flores,García Pimienta,
SP1,2024-25,,Real Madrid,Sociedad,2,1,H,17,15,8,5,,Carlo Ancelotti,Imanol Alguacil,
SP1,2024-25,,Granada,Girona,2,4,A,12,13,5,7,,José Ramón Sandoval,Míchel,
SP1,2024-25,,Alaves,Ath Bilbao,0,2,A,15,11,5,3,,Luis García,Ernesto Valverde,
SP1,2024-25,,Girona,Mallorca,5,3,H,23,15,10,5,,Míchel,Javier Aguirre,
SP1,2024-25,,Osasuna,Sevilla,0,0,D,16,15,2,3,,Jagoba Arrasate,Quique Sánchez Flores,
SP1,2024-25,,Barcelona,Celta,3,2,H,15,13,6,7,,Xavi,Claudio Giráldez,
SP1,2024-25,,Almeria,Valencia,2,2,D,17,7,10,5,,Pepe Mel,Rubén Baraja,
SP1,2024-25,,Sociedad,Getafe,4,3,H,10,10,6,7,,Imanol Alguacil,José Bordalás,
SP1,2024-25,,Vallecano,Villarreal,1,1,D,11,13,6,6,,Iñigo Pérez,Marcelino,
