League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee,HomeScored,AwayScored
SP1,2024-25,2023-01-09,Cadiz,Villarreal,3,1,H,18,7,4,3,,Mauricio Pellegrino,Marcelino,Juan Pulido,Chris Ramos; Darwin Machís; Darwin Machís,Alexander Sørloth
SP1,2024-25,2023-01-09,Almeria,Celta,2,3,A,16,14,5,8,,Pepe Mel,Claudio Giráldez,"Ricardo de
                                    Burgos",Sergio Akieme; Sergio Arribas,Unai Núñez; Jørgen Strand Larsen; Williot Swedberg
SP1,2024-25,2023-02-09,Sociedad,Granada,5,3,H,15,8,6,5,,Imanol Alguacil,José Ramón Sandoval,"Javier
                                    Villanueva",Takefusa Kubo; Takefusa Kubo; Martín Zubimendi; Ander Barrenetxea,Lucas Boyé; Bryan Zaragoza
SP1,2024-25,2023-02-09,Real Madrid,Getafe,2,1,H,26,6,12,2,,Carlo Ancelotti,José Bordalás,Mario Melero,Joselu; Jude Bellingham,Borja Mayoral
SP1,2024-25,2023-02-09,Alaves,Valencia,1,0,H,7,9,1,4,,Luis García,Rubén Baraja,Pablo González,,
SP1,2024-25,2023-02-09,Betis,Vallecano,1,0,H,14,15,5,6,,Manuel Pellegrini,Iñigo Pérez,Alejandro Muñíz,Willian José,
SP1,2024-25,2023-03-09,Girona,Las Palmas,1,0,H,11,10,6,5,,Míchel,García Pimienta,Mateo Busquets,Portu,
SP1,2024-25,2023-03-09,Mallorca,Ath Bilbao,0,0,D,8,11,2,3,,Javier Aguirre,Ernesto Valverde,Jorge Figueroa,,
SP1,2024-25,2023-03-09,Osasuna,Barcelona,1,2,A,11,9,3,4,,Jagoba Arrasate,Xavi,"Miguel
                                    Ángel Ortiz Arias",Ezequiel Ávila,Jules Koundé; Robert Lewandowski
SP1,2024-25,,Vallecano,Alaves,2,0,H,20,9,11,1,,Iñigo Pérez,Luis García,Víctor García,Isaac Palazón Camacho; Jorge de Frutos,
SP1,2024-25,,Ath Bilbao,Cadiz,3,0,H,20,5,9,4,,Ernesto Valverde,Mauricio Pellegrino,Guillermo Cuadra,Gorka Guruzeta; Asier Villalibre; Iñaki Williams,
SP1,2024-25,,Valencia,Ath Madrid,3,0,H,12,11,8,3,,Rubén Baraja,Diego Simeone,Jesús Gil,Hugo Duro; Hugo Duro; Javier Guerra,
SP1,2024-25,,Celta,Mallorca,0,1,A,16,7,4,4,,Claudio Giráldez,Javier Aguirre,"José Luis
                                    Munuera",,Vedat Muriqi
SP1,2024-25,,Barcelona,Betis,5,0,H,17,11,9,2,,Xavi,Manuel Pellegrini,José Sánchez,João Félix; Robert Lewandowski; Ferrán Torres; Raphinha; João Cancelo,
SP1,2024-25,,Getafe,Osasuna,3,2,H,11,8,6,3,,José Bordalás,Jagoba Arrasate,"Alejandro
                                    Hernández",Stefan Mitrović; Carmona; Nemanja Maksimović,Iker Muñoz; Ante Budimir
SP1,2024-25,,Villarreal,Almeria,2,1,H,10,17,4,7,,Marcelino,Pepe Mel,"Francisco
                                    Hernández",Gerard Moreno; Alexander Sørloth,Sergio Akieme
SP1,2024-25,,Sevilla,Las Palmas,1,0,H,26,12,9,2,,Quique Sánchez Flores,García Pimienta,Juan Martínez,Dodi Lukebakio,
SP1,2024-25,,Real Madrid,Sociedad,2,1,H,17,15,8,5,,Carlo Ancelotti,Imanol Alguacil,César Soto,Federico Valverde; Joselu,Ander Barrenetxea
SP1,2024-25,,Granada,Girona,2,4,A,12,13,5,7,,José Ramón Sandoval,Míchel,"Isidro Díaz de
                                    Mera",Myrto Uzuni; Lucas Boyé,Viktor Tsyhankov; Sávio; David López; Yan Couto
SP1,2024-25,,Alaves,Ath Bilbao,0,2,A,15,11,5,3,,Luis García,Ernesto Valverde,Alejandro Muñíz,,Iñaki Williams; Oihan Sancet
SP1,2024-25,,Girona,Mallorca,5,3,H,23,15,10,5,,Míchel,Javier Aguirre,Pablo González,David López; Artem Dovbyk; Iván Martín; Yangel Herrera; Sávio,Vedat Muriqi; Abdón Prats; Abdón Prats
SP1,2024-25,,Osasuna,Sevilla,0,0,D,16,15,2,3,,Jagoba Arrasate,Quique Sánchez Flores,"Javier
                                    Villanueva",,
SP1,2024-25,,Barcelona,Celta,3,2,H,15,13,6,7,,Xavi,Claudio Giráldez,Mario Melero,Robert Lewandowski; Robert Lewandowski; João Cancelo,Jørgen Strand Larsen; Anastasios Douvikas
SP1,2024-25,,Almeria,Valencia,2,2,D,17,7,10,5,,Pepe Mel,Rubén Baraja,Mateo Busquets,Sergio Arribas; Sergio Arribas,Diego López; Javier Guerra
SP1,2024-25,,Sociedad,Getafe,4,3,H,10,10,6,7,,Imanol Alguacil,José Bordalás,Juan Pulido,Takefusa Kubo; Mikel Oyarzabal; Brais Méndez; Mikel Oyarzabal,Carles Aleñá; Borja Mayoral; Juanmi Latasa
SP1,2024-25,,Vallecano,Villarreal,1,1,D,11,13,6,6,,Iñigo Pérez,Marcelino,Jorge Figueroa,Kike Pérez,Alexander Sørloth
SP1,2024-25,,Betis,Cadiz,1,1,D,21,5,7,1,,Manuel Pellegrini,Mauricio Pellegrino,"Miguel
                                    Ángel Ortiz Arias",Guido Rodríguez,Chris Ramos
SP1,2024-25,,Las Palmas,Granada,1,0,H,10,2,3,1,,García Pimienta,José Ramón Sandoval,"Ricardo de
                                    Burgos",Kirian Rodríguez,
SP1,2024-25,,Ath Madrid,Real Madrid,3,1,H,10,20,4,5,,Diego Simeone,Carlo Ancelotti,Javier Alberola,Álvaro Morata; Antoine Griezmann; Álvaro Morata,Toni Kroos
SP1,2024-25,,Sevilla,Almeria,5,1,H,18,10,9,1,,Quique Sánchez Flores,Pepe Mel,Guillermo Cuadra,Youssef En-Nesyri; Dodi Lukebakio; Suso; Érik Lamela; Kike Salas,Luis Javier Suárez
SP1,2024-25,,Mallorca,Barcelona,2,2,D,10,10,5,4,,Javier Aguirre,Xavi,Alejandro Muñíz,Vedat Muriqi; Abdón Prats,Raphinha; Fermin López
SP1,2024-25,,Ath Bilbao,Getafe,2,2,D,9,13,4,5,,Ernesto Valverde,José Bordalás,"Isidro Díaz de
                                    Mera",Yuri Berchiche; Iñaki Williams,Gastón Álvarez; Juanmi Latasa
SP1,2024-25,,Real Madrid,Las Palmas,2,0,H,21,16,9,2,,Carlo Ancelotti,García Pimienta,"José Luis
                                    Munuera",Brahim Díaz; Joselu,
SP1,2024-25,,Villarreal,Girona,1,2,A,14,17,3,5,,Marcelino,Míchel,José Sánchez,Daniel Parejo,Artem Dovbyk; Eric García
SP1,2024-25,,Cadiz,Vallecano,0,0,D,9,9,2,4,,Mauricio Pellegrino,Iñigo Pérez,"Francisco
                                    Hernández",,
SP1,2024-25,,Valencia,Sociedad,0,1,A,9,2,2,1,,Rubén Baraja,Imanol Alguacil,"Alejandro
                                    Hernández",,Carlos Fernández
SP1,2024-25,,Celta,Alaves,1,1,D,8,21,0,11,,Claudio Giráldez,Luis García,César Soto,,Samu Omorodion
SP1,2024-25,,Granada,Betis,1,1,D,19,13,7,3,,José Ramón Sandoval,Manuel Pellegrini,Víctor García,Lucas Boyé,Assane Diao
SP1,2024-25,,Osasuna,Ath Madrid,0,2,A,13,4,2,3,,Jagoba Arrasate,Diego Simeone,Juan Martínez,,Antoine Griezmann; Rodrigo Riquelme
SP1,2024-25,,Barcelona,Sevilla,1,0,H,18,12,5,3,,Xavi,Quique Sánchez Flores,"Miguel
                                    Ángel Ortiz Arias",,
SP1,2024-25,,Getafe,Villarreal,0,0,D,22,3,9,0,,José Bordalás,Marcelino,Mateo Busquets,,
SP1,2024-25,,Vallecano,Mallorca,2,2,D,19,9,5,4,,Iñigo Pérez,Javier Aguirre,Mario Melero,Álvaro García; Radamel Falcao,Vedat Muriqi; Antonio Sánchez
SP1,2024-25,,Girona,Real Madrid,0,3,A,13,14,3,7,,Míchel,Carlo Ancelotti,Juan Pulido,,Joselu; Aurélien Tchouaméni; Jude Bellingham
SP1,2024-25,,Sociedad,Ath Bilbao,3,0,H,8,18,5,3,,Imanol Alguacil,Ernesto Valverde,Jesús Gil,Robin Le Normand; Takefusa Kubo; Mikel Oyarzabal,
SP1,2024-25,2023-01-10,Almeria,Granada,3,3,D,17,19,5,4,,Pepe Mel,José Ramón Sandoval,Pablo González,Luis Javier Suárez; Luis Javier Suárez; Luis Javier Suárez,Bryan Zaragoza; Ricard Sánchez; Myrto Uzuni
SP1,2024-25,2023-01-10,Alaves,Osasuna,0,2,A,17,10,3,3,,Luis García,Jagoba Arrasate,Jorge Figueroa,,José Arnaiz; Ante Budimir
SP1,2024-25,2023-01-10,Ath Madrid,Cadiz,3,2,H,18,8,9,4,,Diego Simeone,Mauricio Pellegrino,"Javier
                                    Villanueva",Ángel Correa; Nahuel Molina; Ángel Correa,Lucas; Roger Martí
SP1,2024-25,2023-01-10,Betis,Valencia,3,0,H,15,9,7,2,,Manuel Pellegrini,Rubén Baraja,"Ricardo de
                                    Burgos",Assane Diao; Marc Roca; Abde Ezzalzouli,
SP1,2024-25,2023-02-10,Las Palmas,Celta,2,1,H,16,11,5,3,,García Pimienta,Claudio Giráldez,Javier Alberola,Jonathan Viera; Marc Cardona,Anastasios Douvikas
SP1,2024-25,2023-06-10,Ath Bilbao,Almeria,3,0,H,23,4,9,1,,Ernesto Valverde,Pepe Mel,Víctor García,Gorka Guruzeta; Dani García; Oihan Sancet,
SP1,2024-25,2023-07-10,Cadiz,Girona,0,1,A,8,20,2,5,,Mauricio Pellegrino,Míchel,Juan Martínez,,
SP1,2024-25,2023-07-10,Real Madrid,Osasuna,4,0,H,19,7,9,1,,Carlo Ancelotti,Jagoba Arrasate,Guillermo Cuadra,Jude Bellingham; Jude Bellingham; Vinicius Júnior; Joselu,
SP1,2024-25,2023-07-10,Mallorca,Valencia,1,1,D,9,11,5,3,,Javier Aguirre,Rubén Baraja,"Francisco
                                    Hernández",Dani Rodríguez,Diego López
SP1,2024-25,2023-07-10,Sevilla,Vallecano,2,2,D,22,7,6,4,,Quique Sánchez Flores,Iñigo Pérez,"Isidro Díaz de
                                    Mera",Djibril Sow; Youssef En-Nesyri,Óscar Valentín; Álvaro García
SP1,2024-25,2023-08-10,Villarreal,Las Palmas,1,2,A,9,8,4,5,,Marcelino,García Pimienta,Alejandro Muñíz,Gerard Moreno,Saúl Coco; Marc Cardona
SP1,2024-25,2023-08-10,Ath Madrid,Sociedad,2,1,H,14,13,5,4,,Diego Simeone,Imanol Alguacil,"José Luis
                                    Munuera",Samuel Lino; Antoine Griezmann,Mikel Oyarzabal
SP1,2024-25,2023-08-10,Alaves,Betis,1,1,D,15,6,5,2,,Luis García,Manuel Pellegrini,"Alejandro
                                    Hernández",,Ayoze Pérez
SP1,2024-25,2023-08-10,Celta,Getafe,2,2,D,26,3,11,2,,Claudio Giráldez,José Bordalás,José Sánchez,Jonathan Bamba; Jørgen Strand Larsen,Borja Mayoral; Mason Greenwood
SP1,2024-25,2023-08-10,Granada,Barcelona,2,2,D,7,22,2,10,,José Ramón Sandoval,Xavi,César Soto,Bryan Zaragoza; Bryan Zaragoza,Lamine Yamal; Sergi Roberto
SP1,2024-25,,Osasuna,Granada,2,0,H,12,13,6,3,,Jagoba Arrasate,José Ramón Sandoval,Mateo Busquets,Ante Budimir; Ante Budimir,
SP1,2024-25,,Sociedad,Mallorca,1,0,H,14,18,6,7,,Imanol Alguacil,Javier Aguirre,Jorge Figueroa,Brais Méndez,
